timestamp,price,quantity,is_buyer_maker
1774542793775,68914.86,0.06182,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00015,false
1774542793775,68914.86,0.00015,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.01,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00507,false
1774542793775,68914.86,0.007,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00035,false
1774542793775,68914.86,0.11877,false
1774542793775,68914.86,0.11177,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.86,0.00008,false
1774542793775,68914.87,0.00008,false
1774542793775,68914.87,0.00008,false
1774542793775,68914.87,0.00008,false
1774542793775,68914.87,0.00008,false
1774542793775,68915.19,0.00008,false
1774542793775,68915.19,0.00008,false
1774542793775,68915.19,0.00008,false
1774542793775,68915.19,0.00008,false
1774542793775,68915.19,0.00008,false
1774542793775,68915.7,0.00008,false
1774542793775,68915.7,0.00008,false
1774542793775,68916.15,0.00008,false
1774542793775,68916.72,0.00008,false
1774542793775,68916.73,0.00008,false
1774542793775,68916.73,0.00008,false
1774542793775,68916.73,0.00008,false
1774542793775,68916.73,0.00008,false
1774542793775,68917.31,0.00008,false
1774542793775,68917.32,0.00008,false
1774542793775,68917.33,0.00008,false
1774542793775,68917.34,0.00008,false
1774542793775,68917.34,0.00008,false
1774542793775,68917.35,0.00008,false
1774542793775,68917.47,0.00008,false
1774542793775,68918,0.0004,false
1774542793775,68918,0.0004,false
1774542793775,68918,0.0004,false
1774542793775,68918.69,0.05,false
1774542793775,68918.97,0.0003,false
1774542793775,68919.66,0.00008,false
1774542793775,68919.69,0.003,false
1774542793775,68919.7,0.00008,false
1774542793775,68920,0.0004,false
1774542793775,68920,0.0004,false
1774542793775,68920,0.0004,false
1774542793775,68920.4,0.00352,false
1774542793775,68920.49,0.00008,false
1774542793775,68921.14,0.00008,false
1774542793775,68921.76,0.00146,false
1774542793775,68922,0.0004,false
