timestamp,action,conditionId,question,side,entryPrice,exitPrice,shares,pnl,balance,btcPrice,reason
1774644153789,BUY_UP,0x3e0b743ea5584f2e851fd25f090e737c17100bd2c8181bd05ca0a5b269c0f5ad,"Bitcoin Up or Down - March 27, 4:40PM-4:45PM ET",up,0.425000,0.425000,4.7059,0.0000,5.0000,65924.17,"trend=+0.36$/s vol=0.006% TTL=146s"
1774644248803,SELL_TP,0x3e0b743ea5584f2e851fd25f090e737c17100bd2c8181bd05ca0a5b269c0f5ad,"Bitcoin Up or Down - March 27, 4:40PM-4:45PM ET",up,0.425000,0.545000,4.7059,0.5647,5.5647,65905.96,"take profit 28.2% | price $0.4250→$0.5450"
1774644248803,BUY_DOWN,0x4a7684d8c3ce1ee50782f29b5a7ac6a3f93f0d8a041a55dd474d3cc353abc01b,"Bitcoin Up or Down - March 27, 4:45PM-4:50PM ET",down,0.505000,0.505000,4.4077,0.0000,5.5647,65905.96,"trend=-1.32$/s vol=0.006% TTL=351s"
1774644363773,SESSION_END,0x4a7684d8c3ce1ee50782f29b5a7ac6a3f93f0d8a041a55dd474d3cc353abc01b,"Bitcoin Up or Down - March 27, 4:45PM-4:50PM ET",down,0.505000,0.505000,4.4077,0.0000,5.5647,65905.77,"session end — force sell at Gamma price $0.5050"
