timestamp,open,high,low,close,volume,trade_count
1774542793000,68914.86,68927.44,68914.86,68927.44,100005.048780,133
1774542794000,68927.43,68927.44,68927.15,68927.15,5933.273187,48
1774542795000,68927.15,68927.15,68918.46,68918.47,50205.507701,254
1774542796000,68918.47,68918.47,68918.47,68918.47,35.148420,3
1774542797000,68918.46,68918.47,68918.46,68918.47,161.958402,2
1774542798000,68918.47,68918.47,68918.47,68918.47,5827.056639,1
1774542799000,68918.47,68918.47,68905.98,68905.98,10809.541991,226
1774542800000,68905.99,68905.99,68905.98,68905.99,11369.486898,5
1774542801000,68905.99,68905.99,68905.99,68905.99,11.024958,1
1774542802000,68905.99,68905.99,68905.99,68905.99,3258.564267,2
1774542803000,68905.98,68905.99,68905.98,68905.99,3671.311128,25
1774542804000,68905.99,68905.99,68905.98,68905.98,2765.886437,2
1774542805000,68905.98,68905.99,68905.98,68905.99,10410.315517,12
1774542806000,68905.99,68905.99,68905.99,68905.99,134.366681,2
1774542807000,68905.99,68905.99,68905.99,68905.99,28.251456,2
1774542808000,68905.99,68905.99,68905.99,68905.99,498.190308,2
1774542809000,68905.99,68905.99,68905.98,68905.98,5542.797834,8
1774542810000,68905.98,68905.98,68905.98,68905.98,11144.853205,14
1774542811000,68905.98,68907.09,68905.98,68907.09,4006.195211,59
1774542812000,68907.09,68907.1,68907.09,68907.1,68.907099,2
1774542813000,68907.1,68912.93,68907.09,68912.93,4115.986299,151
1774542814000,68912.93,68919.04,68912.93,68919.03,14828.383426,95
1774542815000,68919.03,68919.03,68919.03,68919.03,10034.610768,4
1774542816000,68919.03,68919.03,68919.03,68919.03,4136.520181,4
1774542818000,68919.03,68919.04,68919.03,68919.04,11170.396411,14
1774542819000,68919.03,68919.03,68919.03,68919.03,246.040937,1
1774542820000,68919.04,68922.27,68919.03,68922.27,22358.723637,98
1774542821000,68922.28,68935.66,68922.28,68935.66,11320.390029,388
1774542822000,68935.72,68936.53,68935.71,68936.53,5513.481321,55
1774542823000,68936.53,68936.54,68936.53,68936.54,75.140819,3
1774542824000,68936.54,68936.54,68936.53,68936.53,21343.442066,23
1774542825000,68936.54,68936.54,68932,68932,16194.369510,174
1774542826000,68931.99,68932,68926.8,68926.8,94829.050772,338
1774542827000,68926.79,68926.8,68926.79,68926.8,2158.787374,6
1774542828000,68926.8,68926.8,68926.79,68926.8,179.898925,6
1774542829000,68926.8,68926.8,68926.79,68926.8,119.932621,8
1774542830000,68926.79,68926.8,68926.79,68926.8,10009.548445,3
1774542831000,68926.79,68926.8,68926.79,68926.8,1799.678708,4
1774542832000,68926.79,68926.8,68926.79,68926.8,19052.743296,31
1774542833000,68926.8,68926.8,68926.8,68926.8,110.972148,2
1774542834000,68926.8,68926.8,68926.79,68926.79,2247.013641,14
1774542835000,68926.79,68926.79,68918.46,68918.47,96926.158413,314
1774542836000,68918.46,68918.46,68918.29,68918.29,4353.570138,39
1774542837000,68918.29,68918.29,68918.28,68918.28,4381.135686,2
1774542838000,68918.29,68918.29,68918.28,68918.29,4009.666109,5
1774542839000,68918.28,68918.29,68918.28,68918.28,88.904584,3
1774542840000,68918.29,68918.29,68913.43,68913.43,31272.452904,204
1774542841000,68913.42,68913.42,68907.26,68907.26,8719.322190,121
1774542842000,68906.99,68906.99,68904.01,68904.01,565.021412,35
1774542843000,68904,68904.01,68904,68904.01,118.514890,4
1774542844000,68904.01,68904.01,68904.01,68904.01,3288.788397,3
1774542845000,68904,68904.01,68904,68904.01,10097.881212,20
1774542846000,68904,68904,68904,68904,50008.456080,22
1774542847000,68904.01,68904.01,68904,68904.01,104.045044,8
1774542848000,68904,68904.01,68904,68904.01,1426.313006,2
1774542849000,68904.01,68907,68904.01,68907,103210.652445,92
1774542850000,68907,68907,68906.99,68906.99,10177.562441,11
1774542851000,68907,68907,68907,68907,10.336050,1
1774542852000,68906.99,68907,68904.01,68904.01,1753.661165,67
1774542853000,68904.01,68904.01,68904.01,68904.01,1010.132787,2
1774542854000,68904.01,68904.01,68904.01,68904.01,5027.236570,4
1774542855000,68904.01,68904.01,68904,68904.01,38015.029899,21
1774542856000,68904.01,68904.01,68904.01,68904.01,1760.497455,46
1774542857000,68904.01,68908.01,68904.01,68908,24999.491938,149
1774542858000,68908.01,68908.01,68908,68908.01,592.608827,6
1774542859000,68908.01,68908.01,68908.01,68908.01,317.665926,20
1774542860000,68908.01,68908.01,68908,68908,10580.823469,19
1774542861000,68908,68908.01,68908,68908.01,19.983321,2
1774542862000,68908,68908,68908,68908,8.958040,1
1774542863000,68908.01,68916.79,68908.01,68916.79,35231.600978,395
1774542864000,68916.79,68919.65,68916.79,68919.64,3636.186183,48
1774542865000,68919.65,68943.69,68919.65,68943.69,147438.927349,382
1774542866000,68943.69,68943.69,68943.69,68943.69,435.724121,35
1774542867000,68943.69,68950.42,68943.69,68950.42,5366.175914,156
1774542868000,68950.43,68950.43,68950.43,68950.43,119.973748,2
1774542869000,68950.43,68950.43,68950.43,68950.43,99.288619,1
1774542870000,68950.42,68950.42,68950.42,68950.42,10373.590689,5
1774542871000,68950.43,68950.43,68950.42,68950.42,127.558291,2
1774542873000,68950.43,68950.43,68950.43,68950.43,546.087406,2
1774542874000,68950.43,68950.43,68950.43,68950.43,4747.926610,6
1774542875000,68950.42,68950.43,68950.42,68950.43,10061.934799,30
1774542876000,68950.43,68950.43,68950.43,68950.43,369.574305,5
1774542877000,68950.43,68950.43,68950.43,68950.43,1432.100431,8
1774542878000,68950.43,68950.43,68950.43,68950.43,67.571421,2
1774542879000,68950.43,68950.43,68950.42,68950.42,1183.878882,5
1774542880000,68950.42,68950.42,68950.42,68950.42,10004.016438,3
1774542881000,68950.43,68950.43,68950.42,68950.43,5428.466689,5
1774542882000,68950.43,68950.43,68950.43,68950.43,6604.072185,4
1774542883000,68950.42,68950.43,68950.42,68950.43,190.992665,2
1774542884000,68950.42,68958,68950.42,68958,94356.007518,180
1774542885000,68958,68962.7,68958,68962.7,3618.282304,91
1774542886000,68962.71,68965.01,68962.71,68965.01,1728.916822,53
1774542887000,68965.01,68974.67,68965.01,68974.67,2641.525560,182
1774542888000,68974.66,68974.66,68974.66,68974.66,6.897466,1
1774542889000,68974.67,68974.67,68974.66,68974.66,15719.325843,7
1774542890000,68974.66,68974.67,68974.66,68974.67,46.902775,2
1774542891000,68974.66,68974.66,68968.35,68968.35,62813.571624,139
1774542892000,68968.35,68968.36,68968.35,68968.36,220.009042,21
1774542893000,68968.36,68968.36,68968.35,68968.35,24.138924,3
1774542894000,68968.35,68968.35,68958.25,68958.25,59317.018088,261
1774542895000,68958.25,68958.25,68953.45,68953.45,2154.922051,54
1774542896000,68953.45,68953.45,68953.45,68953.45,289.604490,2
1774542897000,68953.45,68953.45,68953.44,68953.45,4937.756553,7
1774542898000,68953.44,68958.25,68953.44,68958.25,37158.341041,135
1774542899000,68958.26,68966.32,68958.26,68966.32,32159.526178,142
1774542900000,68966.32,68974.41,68966.32,68974.41,8618.787080,211
1774542901000,68974.4,68974.4,68974.4,68974.4,259.343744,1
1774542902000,68974.4,68974.41,68974.4,68974.4,4906.149073,4
1774542903000,68974.4,68976,68974.4,68976,4873.059772,51
1774542904000,68976,68983.52,68976,68983.51,15036.787595,80
1774542905000,68983.51,68983.52,68983.51,68983.52,326.292010,4
1774542906000,68983.51,68983.51,68969.59,68969.6,101297.705461,258
1774542907000,68969.59,68969.59,68967.39,68967.4,865.557506,46
1774542908000,68967.4,68967.4,68967.39,68967.39,128.969035,5
1774542909000,68967.39,68967.4,68961.06,68961.07,14479.704483,80
1774542910000,68961.07,68961.07,68961.07,68961.07,460.659948,3
1774542911000,68961.07,68961.07,68961.06,68961.07,1242.678465,5
1774542912000,68961.06,68961.06,68957.39,68957.39,3239.757567,78
1774542913000,68957.39,68957.4,68957.39,68957.4,11539.329690,14
1774542914000,68957.4,68957.4,68951.4,68951.4,44193.092483,118
1774542915000,68951.41,68951.41,68946.56,68946.56,71209.978072,147
1774542916000,68946.57,68946.57,68946.57,68946.57,57.915119,1
1774542917000,68946.57,68946.57,68946.57,68946.57,4892.448607,5
1774542918000,68946.57,68946.57,68946.56,68946.57,10152.380982,14
1774542919000,68946.57,68946.57,68946.57,68946.57,3120.521758,8
1774542920000,68946.57,68946.57,68946.57,68946.57,135.135277,1
1774542921000,68946.57,68946.57,68946.56,68946.56,1851.215140,9
1774542922000,68946.56,68946.56,68946.01,68946.01,35244.102272,35
1774542923000,68946,68946,68946,68946,10142.646060,11
1774542924000,68946,68946.01,68946,68946.01,10308.807412,37
1774542925000,68946.01,68959.46,68946.01,68959.46,17970.889808,633
1774542926000,68959.46,68959.46,68959.46,68959.46,49.650811,1
1774542927000,68959.46,68959.47,68959.46,68959.47,384.104197,5
1774542928000,68959.47,68973.58,68959.47,68973.58,20188.595753,305
1774542929000,68974,68978.29,68974,68978.29,2287.946060,206
1774542930000,68978.3,68978.3,68978.3,68978.3,4297.348090,1
1774542931000,68978.3,68979.78,68978.3,68979.78,1964.506704,88
1774542932000,68980,69002.03,68979.99,69002.03,70249.258093,297
1774542933000,69002.03,69002.03,69002.02,69002.03,10327.532380,6
1774542934000,69002.02,69002.02,68992.56,68992.56,29178.813492,108
