timestamp,action,conditionId,question,side,entryPrice,exitPrice,shares,pnl,balance,btcPrice,reason
1774644108149,BUY_DOWN,0x3e0b743ea5584f2e851fd25f090e737c17100bd2c8181bd05ca0a5b269c0f5ad,"Bitcoin Up or Down - March 27, 4:40PM-4:45PM ET",down,0.485000,0.485000,4.1237,0.0000,5.0000,65916.26,"trend=-0.39$/s vol=0.006% TTL=192s"
1774644113150,SELL_TP,0x3e0b743ea5584f2e851fd25f090e737c17100bd2c8181bd05ca0a5b269c0f5ad,"Bitcoin Up or Down - March 27, 4:40PM-4:45PM ET",down,0.485000,0.575000,4.1237,0.3711,5.3711,65908.88,"take profit 18.6% | price $0.4850→$0.5750"
1774644113150,BUY_DOWN,0x4a7684d8c3ce1ee50782f29b5a7ac6a3f93f0d8a041a55dd474d3cc353abc01b,"Bitcoin Up or Down - March 27, 4:45PM-4:50PM ET",down,0.505000,0.505000,4.2544,0.0000,5.3711,65908.88,"trend=-0.53$/s vol=0.006% TTL=487s"
1774644573241,PANIC_SELL,0x4a7684d8c3ce1ee50782f29b5a7ac6a3f93f0d8a041a55dd474d3cc353abc01b,"Bitcoin Up or Down - March 27, 4:45PM-4:50PM ET",down,0.505000,0.454500,4.2544,-0.2148,5.1563,66031.32,"panic TTL=27s price=$0.4545"
1774644583244,BUY_DOWN,0x50dc0f224cd2736d77f24687afd2be57bd399cbaff23d64a4219320725803e80,"Bitcoin Up or Down - March 27, 4:50PM-4:55PM ET",down,0.485000,0.485000,4.2526,0.0000,5.1563,66016.27,"trend=-0.47$/s vol=0.005% TTL=317s"
1774644693168,SESSION_END,0x50dc0f224cd2736d77f24687afd2be57bd399cbaff23d64a4219320725803e80,"Bitcoin Up or Down - March 27, 4:50PM-4:55PM ET",down,0.485000,0.485000,4.2526,0.0000,5.1563,66024.70,"session end — force sell at Gamma price $0.4850"
