timestamp,action,marketId,price,shares,pnl,btcPrice,reason
1774555482683,BUY_YES,paper-mkt-1,0.485000,50,0.0000,68469.58,"combined=$0.9700 strike=$68469.58"
1774555482683,BUY_NO,paper-mkt-1,0.485000,50,0.0000,68469.58,"combined=$0.9700 strike=$68469.58"
1774555722906,BUY_YES,paper-mkt-2,0.485000,50,0.0000,68479.51,"combined=$0.9700 strike=$68479.51"
1774555722906,BUY_NO,paper-mkt-2,0.485000,50,0.0000,68479.51,"combined=$0.9700 strike=$68479.51"
1774555752957,MERGE,paper-mkt-1,1.000000,50,1.5000,68470.61,"TTL=30s"
1774555809053,SELL_YES,paper-mkt-2,0.589453,50,5.2226,68534.73,"profit=21.5%"
1774555812058,STOP_LOSS_NO,paper-mkt-2,0.375568,50,-5.4716,68543.33,"loss=22.6%"
1774555812059,BUY_YES,paper-mkt-2,0.599432,50,0.0000,68543.33,"combined=$0.9700 strike=$68479.51"
1774555812059,BUY_NO,paper-mkt-2,0.370568,50,0.0000,68543.33,"combined=$0.9700 strike=$68479.51"
1774555841682,MERGE,paper-mkt-2,1.000000,50,1.5000,68544.89,"session end — force merge"
